GOODS_NAME,GOODS_PRICE,GOODS_URL,SHOP_NAME,SHOP_URL,file_urls
夏季男士商务休闲裤修身韩版英伦小脚裤子男长裤西裤男黑色男裤潮,59.00,http://detail.tmall.com/item.htm?id=538387539633&skuId=4611686556814927537&user_id=1752534933&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,xsula服饰旗舰店,//x-sula.tmall.com,http://img.alicdn.com/bao/uploaded/i4/TB1de5OQVXXXXciXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
七分裤男士运动休闲短裤潮男裤宽松夏天收口中裤薄款夏季7分马裤,49.00,http://detail.tmall.com/item.htm?id=528137055158&skuId=3203358538972&user_id=2217081772&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,盈豹麦轩专卖店,//yingbaomx.tmall.com,http://img.alicdn.com/bao/uploaded/i1/TB1pImrPFXXXXX2apXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
男士西裤夏季修身薄款商务休闲宽松中青年职业黑色西服正装长裤子,59.00,http://detail.tmall.com/item.htm?id=39831127315&skuId=4611686058258515219&user_id=496940317&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,princesong旗舰店,//princesong.tmall.com,http://img.alicdn.com/bao/uploaded/i4/TB1fbDBKVXXXXcaXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
夏季裤子九分牛仔裤薄款男青少年修身小脚裤破洞休闲韩版潮流显瘦,69.00,http://detail.tmall.com/item.htm?id=548421263510&skuId=3327516893986&user_id=2124262855&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,丹迪宾奴旗舰店,//dandibinnu.tmall.com,http://img.alicdn.com/bao/uploaded/i3/TB1B5Q4QpXXXXceXVXXXXXXXXXX_!!1-item_pic.gif_b.jpg
夏季薄款男士牛仔裤男青年修身小脚裤韩版潮流2017休闲学生男裤子,69.00,http://detail.tmall.com/item.htm?id=537208279261&skuId=4611686555635667165&user_id=1667831881&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,snk旗舰店,//snkfs.tmall.com,http://img.alicdn.com/bao/uploaded/i4/TB12cUjQFXXXXamXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
春夏新款男士弹力九分牛仔裤男青少年学生韩版修身小脚9分裤男潮,59.90,http://detail.tmall.com/item.htm?id=545455519101&skuId=4611686563882907005&user_id=3158881938&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,凯泰旗舰店,//kaitaifs.tmall.com,http://img.alicdn.com/bao/uploaded/i4/TB1_qTdPVXXXXcrXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
夏季薄款九分牛仔裤男士2017韩版修身潮流春季新款小脚9分男裤子,69.80,http://detail.tmall.com/item.htm?id=545926213557&skuId=3460934759370&user_id=2098909451&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,鑫泰豹旗舰店,//xintaibao.tmall.com,http://img.alicdn.com/bao/uploaded/i2/TB1vH0xPVXXXXX5XpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
运动裤长裤棉直筒男士休闲裤宽松韩版收口束脚卫裤夏季薄款裤子潮,69.00,http://detail.tmall.com/item.htm?id=40352899390&skuId=4611686058780287294&user_id=1768455147&cat_id=2&is_b=1&rn=903a69550d96e1634657a698e56a0e8d,ytk服饰旗舰店,//ytkfs.tmall.com,http://img.alicdn.com/bao/uploaded/i1/TB1_cJ8LXXXXXalXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
男士休闲裤男裤子夏季九分裤男裤子男修身运动裤男哈伦裤男小脚裤,85.00,http://detail.tmall.com/item.htm?id=522663706661&skuId=3151593624681&user_id=1757689593&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,dzh旗舰店,//dzhfushi.tmall.com,http://img.alicdn.com/bao/uploaded/i2/TB1T0sFHpXXXXb4XFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg
夏季男装长裤NIAN JEEP商务休闲裤男士西裤直筒宽松纯棉男裤子潮,76.00,http://detail.tmall.com/item.htm?id=35158433106&skuId=4611686053585821010&user_id=1806772771&cat_id=2&is_b=1&rn=6fb7c383532c0153883a76e75b57a4bb,极简男装专营店,//jjnz.tmall.com,http://img.alicdn.com/bao/uploaded/i3/TB1YHl_KVXXXXXBXpXXYXGcGpXX_M2.SS2_b.jpg
